Abies amabilis;9273;Pacific Silver Fir;38;66;-1000;3000;10;30;10000;99000;38;44;32;38;288;0;0;;;;;;;;;;2;Abies;amabilis;;Abies amabilis;4007;true;0;128;false;false;;A;22;4;2;1
Abies balsamea;6578;Balsam Fir;38;66;-1000;3000;10;30;10000;99000;38;44;32;38;288;0;0;;;;;;;;;;7;Abies;balsamea;;Abies balsamea;1597;true;0;0;false;false;;A;23;4;2;1
Abies cilicica;9;Cilician Fir;38;66;-1000;3000;10;30;10000;99000;38;44;32;38;288;0;0;1065;2135;455;760;5;6;5;6;-23.5;19;Abies;cilicica;;Abies cilicica;28;true;0;32;false;false;;A;24;4;2;1
Abies concolor;4;Colorado Fir;38;66;-1000;3000;10;30;10000;99000;38;44;32;38;288;0;0;2440;3960;455;670;3;7;1;7;-34.5;5;Abies;concolor;;Abies concolor;23;true;0;32;false;false;Abies lowiana;A;25;4;2;1
Abies firma;5648;Momi Fir;38;66;-1000;3000;10;30;10000;99000;38;44;32;38;288;0;0;1220;3050;610;760;6;9;6;9;-18;18;Abies;firma;;Abies firma;1362;true;0;32;false;false;;A;26;4;2;1
Abies fraseri;5;Fraser Fir;38;66;-1000;3000;10;30;10000;99000;38;44;32;38;288;0;0;915;1525;455;610;4;7;2;7;-29;10;Abies;fraseri;;Abies fraseri;24;true;0;32;false;false;;A;27;4;2;1
Abies grandis;1192;Grand Fir;38;66;-1000;3000;10;30;10000;99000;38;44;32;38;288;0;0;2440;6095;455;760;5;6;5;6;-23.5;10;Abies;grandis;;Abies grandis;860;true;0;32;false;false;;A;28;4;2;1
Abies homolepis;6;Nikko Fir;38;66;-1000;3000;10;30;10000;99000;38;44;32;38;288;0;0;1065;2285;305;455;4;7;5;6;-29;11;Abies;homolepis;;Abies homolepis;25;true;0;32;false;false;;A;29;4;2;1
Abies koreana;6579;Korean Fir;38;66;-1000;3000;10;30;10000;99000;38;44;32;38;288;0;0;;;;;;;;;;4;Abies;koreana;;Abies koreana;1598;true;0;0;false;false;;A;30;4;2;1
Abies lasiocarpa;10;Alpine Fir;38;66;-1000;3000;10;30;10000;99000;38;44;32;38;288;0;0;1220;3050;365;610;2;7;5;6;-40;19;Abies;lasiocarpa;;Abies lasiocarpa;29;true;0;32;false;false;;A;31;4;2;1
